participant,abs_seq,start,end,duration,delay,block,block_seq,exec_time
134146,63,2019-11-15 19:26:55.924000+00:00,2019-11-15 19:27:01.331000+00:00,0 days 00:00:05.407000,0 days 00:00:00.600000,10,2,0 days 00:00:04.170000
134146,64,2019-11-15 19:27:01.331000+00:00,2019-11-15 19:27:06.738000+00:00,0 days 00:00:05.407000,0 days 00:00:00.600000,10,3,0 days 00:00:03.941000
134146,65,2019-11-15 19:27:06.738000+00:00,2019-11-15 19:27:10.344000+00:00,0 days 00:00:03.606000,0 days 00:00:00.600000,10,4,0 days 00:00:02.178000
134146,66,2019-11-15 19:27:10.344000+00:00,2019-11-15 19:27:16.954000+00:00,0 days 00:00:06.610000,0 days 00:00:00.600000,10,5,0 days 00:00:05.092000
134146,67,2019-11-15 19:27:16.954000+00:00,2019-11-15 19:27:24.764000+00:00,0 days 00:00:07.810000,0 days 00:00:00.600000,10,6,0 days 00:00:06.336000
134146,68,2019-11-15 19:27:24.764000+00:00,2019-11-15 19:27:33.018000+00:00,0 days 00:00:08.254000,0 days 00:00:00.600000,10,7,0 days 00:00:06.974000
134146,69,2019-11-15 19:27:33.018000+00:00,2019-11-15 19:27:37.827000+00:00,0 days 00:00:04.809000,0 days 00:00:00.600000,10,8,0 days 00:00:03.429000
134146,70,2019-11-15 19:27:37.827000+00:00,2019-11-15 19:27:42.032000+00:00,0 days 00:00:04.205000,0 days 00:00:00.600000,10,9,0 days 00:00:02.747000
134146,71,2019-11-15 19:27:42.032000+00:00,2019-11-15 19:27:46.248000+00:00,0 days 00:00:04.216000,0 days 00:00:00.600000,10,10,0 days 00:00:02.782000
134146,72,2019-11-15 19:27:46.248000+00:00,2019-11-15 19:27:49.252000+00:00,0 days 00:00:03.004000,0 days 00:00:00.600000,10,11,0 days 00:00:01.527000
134146,73,2019-11-15 19:27:49.252000+00:00,2019-11-15 19:27:54.058000+00:00,0 days 00:00:04.806000,0 days 00:00:02.700000,11,0,0 days 00:00:03.573000
134146,74,2019-11-15 19:27:54.058000+00:00,2019-11-15 19:28:02.168000+00:00,0 days 00:00:08.110000,0 days 00:00:02.700000,11,1,0 days 00:00:03.726000
134146,75,2019-11-15 19:28:02.168000+00:00,2019-11-15 19:28:10.304000+00:00,0 days 00:00:08.136000,0 days 00:00:02.700000,11,2,0 days 00:00:04.032000
134146,76,2019-11-15 19:28:10.304000+00:00,2019-11-15 19:28:18.448000+00:00,0 days 00:00:08.144000,0 days 00:00:02.700000,11,3,0 days 00:00:03.094000
134146,77,2019-11-15 19:28:18.448000+00:00,2019-11-15 19:28:29.286000+00:00,0 days 00:00:10.838000,0 days 00:00:02.700000,11,4,0 days 00:00:06.082000
134146,78,2019-11-15 19:28:29.286000+00:00,2019-11-15 19:28:40.128000+00:00,0 days 00:00:10.842000,0 days 00:00:02.700000,11,5,0 days 00:00:06.720000
